time,median_virus_load,lower_bound,upper_bound,f1,f2
0,29985.47262075219,29881.49630786587,30009.70892644885,0.0049883584479330995,0.9949776410613698
1,13987588.617920509,161087.2477607313,45990081.41596868,0.0019450581094658363,0.9899742882438316
2,51433508.57341531,1038136.2145417839,128310524.49968351,0.0015698032369929388,0.9610067933319986
3,144823719.1684093,10977655.407200782,320721964.2365271,0.0014501160829969524,0.8747323822566928
4,286740138.6437162,95365625.03608675,473488990.3879828,0.0011597385502757696,0.6969697147089324
5,311092585.2692891,159818189.32565567,517732983.064293,0.0007978342585618445,0.492764222774935
6,206946635.60952854,71619982.8070955,348834131.97084016,0.0005933728785291861,0.37176934187341326
7,106950678.4176305,19790706.25971606,219888526.61610153,0.0005064706954740311,0.3169844786813157
8,48318377.94586687,5035467.742650942,130993444.1385999,0.00046999851097889836,0.29287587329591785
9,20743562.298381317,1264773.697485122,76456623.25878079,0.00045426803839423215,0.2820857482320904
10,8755424.283574037,286575.7800184732,43887473.75105694,0.0004472799376780061,0.27714227991629115
11,3665398.0613352675,60047.299794898296,24572632.961595926,0.0004440892464368983,0.27482436789044934
12,1540732.4881516045,13286.148021327683,13493699.39820096,0.0004425959394597173,0.2737137569233803
13,643068.855051625,2886.9362835627358,7364324.3151191855,0.0004418809545643054,0.273170588106613
14,269951.4903978456,632.9966789116287,3991572.033341513,0.00044153096294983,0.27289944633621227
15,110541.40804715603,144.5115096792156,2157457.7030013157,0.0004413556882907382,0.27276116057633587
16,45273.333047050146,30.43187881757973,1164358.7558399471,0.00044126574352915533,0.27268897723217755
17,19374.949674199124,6.67255792645089,627883.3736427978,0.00044121834061733767,0.2726503276242366
18,8074.874653536174,1.4472593026379794,338439.6894332696,0.0004411926180759234,0.272629048588629
19,3353.8096155935614,0.31253432159648276,183526.74065131723,0.00044117821165952104,0.2726169753448622
20,1427.9647271075144,0.06281302880922769,100231.64786157868,0.000441169868936675,0.27260990473530267
21,600.718270586071,0.01432395085526205,55121.05757489841,0.0004411648700979236,0.2726056280765788
22,253.40520421726163,0.0031089598536601223,30315.846282391,0.0004411617731318434,0.2726029582854244
23,106.13122202474976,0.000650889390709184,16623.681789035654,0.00044115979344429415,0.2726012413848942
24,44.945036497115666,0.00013626607850156865,9042.44922139189,0.0004411584918842666,0.2726001072958352
25,18.80206061598358,2.825591522327629e-05,4918.447993516641,0.0004411576151500156,0.27259934052756934
26,7.847542263724309,5.9617063658389075e-06,2673.5877927423503,0.00044115701249603726,0.2725988118387312
