epsilon,t_star,isolation_day
0.5,1,16
0.5,3,15
0.5,5,13
0.5,7,13
0.5,10,15
0.5,13,17
0.7,1,8
0.7,3,11
0.7,5,11
0.7,7,12
0.7,10,14
0.7,13,17
0.9,1,6
0.9,3,8
0.9,5,10
0.9,7,12
0.9,10,14
0.9,13,17
1.0,1,5
1.0,3,8
1.0,5,10
1.0,7,11
1.0,10,14
1.0,13,17
