time,median_virus_load,lower_bound,upper_bound,f1,f2
0,60010.90238945368,56115.11863279268,68606.4434875496,0.0024507610456904866,0.9972592565023516
1,697480.1767715381,408969.05563914793,1237472.3544437562,0.0022356766035457097,0.9971497547673221
2,2841064.2856546687,1635641.7430680883,4113823.0721077826,0.001399207595548389,0.99643455671681
3,2676943.9719980517,1708216.3564684966,3697500.023038042,0.0009519458628234869,0.9952652989412466
4,1614107.1058726679,766625.3784414089,2678206.563259375,0.0008572568315190813,0.9944108297901857
5,885057.71220942,313738.5382396382,1834315.7755527827,0.000833628799238993,0.9939044132113936
6,471701.6342587052,124240.22164522418,1210302.494001086,0.000825711012956071,0.9936154463448277
7,250296.32477691767,49374.883019319415,807236.2887498413,0.0008225007523434332,0.9934506160480906
8,130645.37762906194,19398.949785273988,548214.8290055465,0.0008210478433443515,0.9933557142622069
9,68267.59339801355,7700.104667138115,369998.45231108175,0.0008203453589098767,0.9933004146214812
10,35919.755885866056,3050.0388815747606,248496.56552210497,0.0008199906180843719,0.9932677863700311
11,18829.39274926001,1202.071454352875,166337.24307792028,0.0008198057352326264,0.9932482985908824
12,9935.259274716802,465.4010166353234,110108.1940353594,0.0008197069415642529,0.9932365231846562
13,5223.828724076053,180.7446609910463,73578.64460592945,0.0008196530279770234,0.9932293296598192
14,2698.103452630525,70.40276445901195,49173.10095888051,0.0008196230578044855,0.9932248898665987
15,1408.0377115818226,27.305753122621518,32852.33688206542,0.0008196061180282371,0.9932221232243502
16,740.4321012336088,10.589769665898881,22174.88775155401,0.0008195963963676947,0.9932203836444821
17,389.36083177896506,4.141123495827817,14756.359544619689,0.0008195907380877226,0.9932192806117418
18,204.74684400888646,1.6204156645797743,9817.591004603099,0.0008195874014541422,0.993218575665046
19,107.66662121539106,0.6322409384021387,6553.392296768003,0.0008195854097125971,0.9932181217884469
20,56.61667773359192,0.24682218080786547,4400.492091713109,0.0008195842071229773,0.9932178275225803
21,29.771956677852877,0.09538933099025185,2925.8432299148417,0.0008195834731948128,0.993217635485563
22,15.6556180337815,0.036800245060766915,1956.0705019312127,0.0008195830207560347,0.9932175093870935
23,8.232523371190865,0.014197165663929813,1311.6041498353084,0.0008195827391915208,0.9932174261027182
24,4.32908072743464,0.005477124106540844,878.2843764204256,0.000819582562396522,0.9932173707923048
25,2.276451350675669,0.0021130195486382375,585.6085809759082,0.0008195824504486874,0.9932173338680799
26,1.1926003889929375,0.0008152037755637383,390.4623466978833,0.0008195823789972729,0.9932173090963132
