time,median_virus_load,lower_bound,upper_bound,f1,f2
0,59947.5303370146,59661.916217264785,60240.97445361634,0.0029004875948666626,0.9960469171720234
1,595687.7160849125,332600.8217690401,1562583.1589625685,0.002681270948081865,0.9958881792535477
2,2491025.2602013014,1200690.921954408,4081493.813570365,0.0019341576372013637,0.9949253721412861
3,2521138.8019455294,1155651.8358833047,4141581.036483722,0.0014620333273157426,0.9934035253263213
4,1508657.8116560492,411361.52619677776,2750805.7959243786,0.00132438042482692,0.9922548669456495
5,792251.5471826456,114431.90833998457,1828224.8180677157,0.0012863901721466462,0.9915594554230018
6,383411.09527350107,31286.54153885523,1316705.1760352135,0.0012742137151422629,0.9911499792728916
7,183726.7148863518,7270.218447680416,959786.3181285994,0.001269752072599979,0.990904097533293
8,87097.47019297688,1876.823843982269,686125.6259454887,0.0012679366262479852,0.990752329324732
9,40895.58020887618,444.0255527068322,507823.88713888504,0.0012671301572896082,0.9906561605976242
10,19592.150286284155,115.31403553195844,378054.45792297024,0.0012667432730988928,0.9905937930901316
11,9264.046319827294,24.15567709711706,266053.9883420132,0.0012665446283062856,0.9905525213889741
12,4498.619008050759,5.657377136042275,193356.65715030563,0.0012664363829813863,0.9905247237597562
13,2113.5832962975114,1.4118715137932927,141939.11509327393,0.0012663742856605644,0.9905057079457412
14,1002.2698718117679,0.32257223727878165,104139.63302300994,0.001266337060745901,0.9904925184300468
15,468.75108531143945,0.07380732278170178,76161.41215362694,0.0012663138963588765,0.9904832558385916
16,221.37173845384373,0.017776700636514053,55216.18541051867,0.0012662990177090265,0.9904766776497475
17,106.98234371114138,0.004043684302667492,40617.60827501183,0.001266289200708275,0.9904719580506189
18,51.27171649448992,0.0009026818121070358,30078.29860766214,0.0012662825734939833,0.9904685402955424
19,24.24100511297721,0.00020150759808987593,22122.99326638766,0.001266278011219717,0.9904660441429544
20,11.277653755268231,4.4984120510363897e-05,16214.789852346745,0.0012662748171953274,0.9904642068028704
21,5.427053313816431,1.0042146910290697e-05,11886.839559064147,0.0012662725483121202,0.9904628446670779
22,2.575843964264002,2.3524357438669296e-06,8713.825468572417,0.001266270916093709,0.9904618281518556
23,1.213044508079473,5.809477000052244e-07,6383.323697260363,0.001266269728834828,0.9904610649441419
24,0.5672036218586933,1.4436184731165085e-07,4675.9508740105,0.0012662688568052692,0.9904604887085198
25,0.2677109624715657,3.5183850761744284e-08,3426.0932856351305,0.0012662682107909956,0.9904600513906568
26,0.1271339592948576,8.609171803538834e-09,2510.341283423962,0.001266267728556995,0.9904597179166821
