time,virusload
0.0,165958.7
1.0,52480.75
2.0,2754229.0
3.0,3548134.0
4.0,1288250.0
5.0,1584893.0
6.0,199526.2
7.0,371535.2
8.0,107151.9
9.0,14791.08
10.0,31622.78
11.0,70794.58
12.0,7413.102
13.0,9772.372
14.0,5623.413
